Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_1_s1_a,1,2,2
rcc096_1_s1_a,2,1,1
rcc096_1_s1_a,3,1,1
rcc096_1_s1_a,4,1,1
rcc096_1_s1_a,5,1,1
rcc096_1_s1_a,6,1,1
rcc096_1_s1_a,7,1,1
rcc096_1_s1_a,8,1,1
rcc096_1_s1_a,9,2,2
rcc096_1_s1_a,10,2,2
rcc096_1_s1_a,11,1,1
rcc096_1_s1_a,12,0,0
rcc096_1_s1_a,13,0,0
rcc096_1_s1_a,14,0,0
rcc096_1_s1_a,15,0,0
rcc096_1_s1_a,16,0,0
rcc096_1_s1_a,17,0,0
rcc096_1_s1_a,18,2,2
rcc096_1_s1_a,19,0,0
rcc096_1_s1_a,20,0,0
rcc096_1_s1_a,21,0,0
rcc096_1_s1_a,22,0,0
rcc096_1_s1_a,23,0,0
rcc096_1_s1_a,24,0,0
rcc096_1_s1_a,25,0,0
rcc096_1_s1_a,26,1,1
rcc096_1_s1_a,27,2,2
rcc096_1_s1_a,28,0,0
rcc096_1_s1_a,29,0,0
rcc096_1_s1_a,30,0,0
rcc096_1_s1_a,31,1,1
rcc096_1_s1_a,32,1,1
rcc096_1_s1_a,33,0,0
rcc096_1_s1_a,34,0,0
rcc096_1_s1_a,35,1,1
rcc096_1_s1_a,36,1,1
rcc096_1_s1_a,37,0,0
rcc096_1_s1_a,38,0,0
rcc096_1_s1_a,39,1,1
rcc096_1_s1_a,40,0,0
rcc096_1_s1_a,41,0,0
rcc096_1_s1_a,42,0,0
rcc096_1_s1_a,43,0,0
rcc096_1_s1_a,44,0,0
rcc096_1_s1_a,45,0,0
rcc096_1_s1_a,46,0,0
rcc096_1_s1_a,47,1,1
rcc096_1_s1_a,48,1,1
rcc096_1_s1_a,49,0,0
rcc096_1_s1_a,50,0,0
rcc096_1_s1_a,51,0,0
rcc096_1_s1_a,52,2,2
rcc096_1_s1_a,53,0,0
rcc096_1_s1_a,54,0,0
rcc096_1_s1_a,55,1,1
rcc096_1_s1_a,56,0,0
rcc096_1_s1_a,57,0,0
rcc096_1_s1_a,58,1,1
rcc096_1_s1_a,59,0,0
rcc096_1_s1_a,60,1,1
rcc096_1_s1_a,61,1,1
rcc096_1_s1_b,1,0,0
rcc096_1_s1_b,2,0,0
rcc096_1_s1_b,3,0,0
rcc096_1_s1_b,4,1,1
rcc096_1_s1_b,5,1,1
rcc096_1_s1_b,6,0,0
rcc096_1_s1_b,7,0,0
rcc096_1_s1_b,8,1,1
rcc096_1_s1_b,9,1,1
rcc096_1_s1_b,10,1,Committed
rcc096_1_s1_b,11,1,Committed
rcc096_1_s1_b,12,1,Committed
rcc096_1_s1_b,13,1,Committed
rcc096_1_s1_b,14,1,Committed
rcc096_1_s1_b,15,1,Committed
rcc096_1_s1_b,16,1,Committed
rcc096_1_s1_b,17,NA,Fusion
rcc096_1_s1_b,18,NA,Fusion
rcc096_1_s1_b,19,NA,Fusion
rcc096_1_s1_b,20,NA,Fusion
rcc096_1_s1_b,21,NA,Fusion
rcc096_1_s1_b,22,NA,Fusion
rcc096_1_s1_b,23,NA,Fusion
rcc096_1_s1_b,24,NA,Fusion
rcc096_1_s1_b,25,NA,Fusion
rcc096_1_s1_b,26,NA,Fusion
rcc096_1_s1_b,27,NA,Fusion
rcc096_1_s1_b,28,NA,Fusion
rcc096_1_s1_b,29,NA,Fusion
rcc096_1_s1_b,30,NA,Fusion
rcc096_1_s1_b,31,NA,Fusion
rcc096_1_s1_b,32,NA,Fusion
rcc096_1_s1_b,33,NA,Fusion
rcc096_1_s1_b,34,NA,Fusion
rcc096_1_s1_b,35,NA,Fusion
rcc096_1_s1_b,36,NA,Fusion
rcc096_1_s1_b,37,NA,Fusion
rcc096_1_s1_b,38,NA,Fusion
rcc096_1_s1_b,39,NA,Fusion
rcc096_1_s1_b,40,NA,Fusion
rcc096_1_s1_b,41,NA,Fusion
rcc096_1_s1_b,42,NA,Fusion
rcc096_1_s1_b,43,NA,Fusion
rcc096_1_s1_b,44,NA,Fusion
rcc096_1_s1_b,45,NA,Fusion
rcc096_1_s1_b,46,NA,Fusion
rcc096_1_s1_b,47,NA,Fusion
rcc096_1_s1_b,48,NA,Fusion
rcc096_1_s1_b,49,NA,Fusion
rcc096_1_s1_b,50,NA,Fusion
rcc096_1_s1_b,51,NA,Fusion
rcc096_1_s1_b,52,NA,Fusion
rcc096_1_s1_b,53,NA,Fusion
rcc096_1_s1_b,54,NA,Fusion
rcc096_1_s1_b,55,NA,Fusion
rcc096_1_s1_b,56,NA,Fusion
rcc096_1_s1_b,57,NA,Fusion
rcc096_1_s1_b,58,NA,Fusion
rcc096_1_s1_b,59,NA,Fusion
rcc096_1_s1_b,60,NA,Fusion
rcc096_1_s1_b,61,NA,Fusion
rcc096_1_s1_c,1,0,0
rcc096_1_s1_c,2,0,0
rcc096_1_s1_c,3,0,0
rcc096_1_s1_c,4,0,0
rcc096_1_s1_c,5,0,0
rcc096_1_s1_c,6,0,0
rcc096_1_s1_c,7,0,0
rcc096_1_s1_c,8,0,0
rcc096_1_s1_c,9,0,0
rcc096_1_s1_c,10,0,0
rcc096_1_s1_c,11,0,0
rcc096_1_s1_c,12,0,0
rcc096_1_s1_c,13,0,0
rcc096_1_s1_c,14,0,0
rcc096_1_s1_c,15,0,0
rcc096_1_s1_c,16,0,0
rcc096_1_s1_c,17,0,0
rcc096_1_s1_c,18,1,1
rcc096_1_s1_c,19,1,1
rcc096_1_s1_c,20,1,1
rcc096_1_s1_c,21,0,0
rcc096_1_s1_c,22,0,0
rcc096_1_s1_c,23,0,0
rcc096_1_s1_c,24,0,0
rcc096_1_s1_c,25,0,0
rcc096_1_s1_c,26,0,0
rcc096_1_s1_c,27,0,0
rcc096_1_s1_c,28,0,0
rcc096_1_s1_c,29,0,0
rcc096_1_s1_c,30,0,0
rcc096_1_s1_c,31,0,0
rcc096_1_s1_c,32,0,0
rcc096_1_s1_c,33,0,0
rcc096_1_s1_c,34,0,0
rcc096_1_s1_c,35,0,0
rcc096_1_s1_c,36,0,0
rcc096_1_s1_c,37,0,0
rcc096_1_s1_c,38,0,0
rcc096_1_s1_c,39,0,0
rcc096_1_s1_c,40,0,0
rcc096_1_s1_c,41,0,0
rcc096_1_s1_c,42,0,0
rcc096_1_s1_c,43,0,0
rcc096_1_s1_c,44,0,0
rcc096_1_s1_c,45,1,1
rcc096_1_s1_c,46,0,0
rcc096_1_s1_c,47,0,0
rcc096_1_s1_c,48,0,0
rcc096_1_s1_c,49,0,0
rcc096_1_s1_c,50,0,0
rcc096_1_s1_c,51,0,0
rcc096_1_s1_c,52,0,0
rcc096_1_s1_c,53,0,0
rcc096_1_s1_c,54,0,0
rcc096_1_s1_c,55,0,0
rcc096_1_s1_c,56,0,0
rcc096_1_s1_c,57,0,0
rcc096_1_s1_c,58,0,0
rcc096_1_s1_c,59,0,0
rcc096_1_s1_c,60,0,0
rcc096_1_s1_c,61,0,0
rcc096_1_s1_d,1,0,0
rcc096_1_s1_d,2,0,0
rcc096_1_s1_d,3,0,0
rcc096_1_s1_d,4,0,0
rcc096_1_s1_d,5,0,0
rcc096_1_s1_d,6,0,0
rcc096_1_s1_d,7,0,0
rcc096_1_s1_d,8,0,0
rcc096_1_s1_d,9,0,0
rcc096_1_s1_d,10,0,0
rcc096_1_s1_d,11,0,0
rcc096_1_s1_d,12,0,0
rcc096_1_s1_d,13,0,0
rcc096_1_s1_d,14,0,0
rcc096_1_s1_d,15,0,0
rcc096_1_s1_d,16,1,1
rcc096_1_s1_d,17,1,1
rcc096_1_s1_d,18,0,0
rcc096_1_s1_d,19,0,0
rcc096_1_s1_d,20,0,0
rcc096_1_s1_d,21,1,1
rcc096_1_s1_d,22,1,1
rcc096_1_s1_d,23,0,0
rcc096_1_s1_d,24,0,0
rcc096_1_s1_d,25,1,1
rcc096_1_s1_d,26,0,0
rcc096_1_s1_d,27,0,0
rcc096_1_s1_d,28,0,0
rcc096_1_s1_d,29,0,0
rcc096_1_s1_d,30,0,0
rcc096_1_s1_d,31,0,0
rcc096_1_s1_d,32,0,0
rcc096_1_s1_d,33,0,0
rcc096_1_s1_d,34,0,0
rcc096_1_s1_d,35,0,0
rcc096_1_s1_d,36,1,1
rcc096_1_s1_d,37,0,0
rcc096_1_s1_d,38,0,0
rcc096_1_s1_d,39,0,0
rcc096_1_s1_d,40,0,0
rcc096_1_s1_d,41,0,0
rcc096_1_s1_d,42,0,0
rcc096_1_s1_d,43,0,0
rcc096_1_s1_d,44,1,1
rcc096_1_s1_d,45,1,1
rcc096_1_s1_d,46,0,0
rcc096_1_s1_d,47,0,0
rcc096_1_s1_d,48,0,0
rcc096_1_s1_d,49,0,0
rcc096_1_s1_d,50,0,0
rcc096_1_s1_d,51,0,0
rcc096_1_s1_d,52,0,0
rcc096_1_s1_d,53,0,0
rcc096_1_s1_d,54,0,0
rcc096_1_s1_d,55,0,0
rcc096_1_s1_d,56,0,0
rcc096_1_s1_d,57,0,0
rcc096_1_s1_d,58,0,0
rcc096_1_s1_d,59,0,0
rcc096_1_s1_d,60,1,1
rcc096_1_s1_d,61,0,0
rcc096_1_s1_e,1,1,1
rcc096_1_s1_e,2,1,1
rcc096_1_s1_e,3,0,0
rcc096_1_s1_e,4,1,1
rcc096_1_s1_e,5,1,1
rcc096_1_s1_e,6,1,1
rcc096_1_s1_e,7,1,1
rcc096_1_s1_e,8,0,0
rcc096_1_s1_e,9,1,1
rcc096_1_s1_e,10,0,0
rcc096_1_s1_e,11,1,1
rcc096_1_s1_e,12,1,1
rcc096_1_s1_e,13,0,0
rcc096_1_s1_e,14,1,1
rcc096_1_s1_e,15,1,1
rcc096_1_s1_e,16,1,1
rcc096_1_s1_e,17,0,0
rcc096_1_s1_e,18,3,3
rcc096_1_s1_e,19,1,1
rcc096_1_s1_e,20,0,0
rcc096_1_s1_e,21,0,0
